Removing parentheses from filenames:
----------------------------------
renamed './Buckshot_Ball_(Recipe_#1).png' -> './Buckshot_Ball_Recipe_#1.png'
renamed './Buckshot_(Recipe_#2).png' -> './Buckshot_Recipe_#2.png'
renamed './White_Flower_Seeds_(Recipe_#1).png' -> './White_Flower_Seeds_Recipe_#1.png'
renamed './Red_Flower_Seeds_(Recipe_#1).png' -> './Red_Flower_Seeds_Recipe_#1.png'
renamed './Musket_Ball_(Recipe_#1).png' -> './Musket_Ball_Recipe_#1.png'
renamed './Buckshot_(Recipe_#1).png' -> './Buckshot_Recipe_#1.png'
renamed './Purple_Flower_Seeds_(Recipe_#1).png' -> './Purple_Flower_Seeds_Recipe_#1.png'
renamed './Wooden_Tip_Arrow_(Recipe_#1).png' -> './Wooden_Tip_Arrow_Recipe_#1.png'
renamed './Iron_Bolt_(Recipe_#1).png' -> './Iron_Bolt_Recipe_#1.png'
renamed './Diamond_Tip_Arrow_(Recipe_#1).png' -> './Diamond_Tip_Arrow_Recipe_#1.png'
renamed './Diamond_Tip_Iron_Bolt_(Recipe_#1).png' -> './Diamond_Tip_Iron_Bolt_Recipe_#1.png'
renamed './Tall_Grass_Seeds_(Recipe_#1).png' -> './Tall_Grass_Seeds_Recipe_#1.png'
renamed './String_(Recipe_#1).png' -> './String_Recipe_#1.png'
renamed './Iron_Fence_(Recipe_#1).png' -> './Iron_Fence_Recipe_#1.png'
renamed './Socks_(Recipe_#1).png' -> './Socks_Recipe_#1.png'
renamed './Explosive_Bolt_(Recipe_#1).png' -> './Explosive_Bolt_Recipe_#1.png'
renamed './Iron_Tip_Arrow_(Recipe_#1).png' -> './Iron_Tip_Arrow_Recipe_#1.png'
renamed './Canvas_(Recipe_#1).png' -> './Canvas_Recipe_#1.png'
renamed './Iron_Ladder_(Recipe_#1).png' -> './Iron_Ladder_Recipe_#1.png'
renamed './Cell_Door_(Recipe_#1).png' -> './Cell_Door_Recipe_#1.png'
renamed './Framed_Glass_(Recipe_#1).png' -> './Framed_Glass_Recipe_#1.png'
renamed './Torch_(Recipe_#1).png' -> './Torch_Recipe_#1.png'
renamed './Electric_Wire_(Recipe_#1).png' -> './Electric_Wire_Recipe_#1.png'
renamed './Campfire_(Recipe_#1).png' -> './Campfire_Recipe_#1.png'
renamed './Fire_Arrow_(Recipe_#1).png' -> './Fire_Arrow_Recipe_#1.png'
renamed './Copper_Tip_Arrow_(Recipe_#1).png' -> './Copper_Tip_Arrow_Recipe_#1.png'
renamed './Stone_Tip_Arrow_(Recipe_#1).png' -> './Stone_Tip_Arrow_Recipe_#1.png'
renamed './Shorts_(Recipe_#1).png' -> './Shorts_Recipe_#1.png'
renamed './Iron_Shovel_(Recipe_#1).png' -> './Iron_Shovel_Recipe_#1.png'
renamed './Wooden_Fence_(Recipe_#1).png' -> './Wooden_Fence_Recipe_#1.png'
renamed './Cooked_Meat_(Recipe_#1).png' -> './Cooked_Meat_Recipe_#1.png'
renamed './Flour_(Recipe_#1).png' -> './Flour_Recipe_#1.png'
renamed './Cooked_Fish_(Recipe_#1).png' -> './Cooked_Fish_Recipe_#1.png'
renamed './Bucket_(Recipe_#6).png' -> './Bucket_Recipe_#6.png'
renamed './Fedora_(Recipe_#1).png' -> './Fedora_Recipe_#1.png'
renamed './Match_(Recipe_#1).png' -> './Match_Recipe_#1.png'
renamed './Wooden_Ladder_(Recipe_#1).png' -> './Wooden_Ladder_Recipe_#1.png'
renamed './Bucket_(Recipe_#7).png' -> './Bucket_Recipe_#7.png'
renamed './Wooden_Leggings_(Recipe_#1).png' -> './Wooden_Leggings_Recipe_#1.png'
renamed './Bow_(Recipe_#1).png' -> './Bow_Recipe_#1.png'
renamed './Iron_Machete_(Recipe_#1).png' -> './Iron_Machete_Recipe_#1.png'
renamed './Bucket_(Recipe_#2).png' -> './Bucket_Recipe_#2.png'
renamed './Bucket_(Recipe_#8).png' -> './Bucket_Recipe_#8.png'
renamed './Iron_Ingot_(Recipe_#2).png' -> './Iron_Ingot_Recipe_#2.png'
renamed './Bucket_(Recipe_#4).png' -> './Bucket_Recipe_#4.png'
renamed './Iron_Ingot_(Recipe_#1).png' -> './Iron_Ingot_Recipe_#1.png'
renamed './Rod_(Recipe_#1).png' -> './Rod_Recipe_#1.png'
renamed './Bucket_(Recipe_#3).png' -> './Bucket_Recipe_#3.png'
renamed './Pumpkin_Seeds_(Recipe_#2).png' -> './Pumpkin_Seeds_Recipe_#2.png'
renamed './Pumpkin_Seeds_(Recipe_#1).png' -> './Pumpkin_Seeds_Recipe_#1.png'
renamed './Copper_Shovel_(Recipe_#1).png' -> './Copper_Shovel_Recipe_#1.png'
renamed './CookedSparrow_Spawner_(Recipe_#1).png' -> './CookedSparrow_Spawner_Recipe_#1.png'
renamed './String_(Recipe_#2).png' -> './String_Recipe_#2.png'
renamed './Bucket_(Recipe_#5).png' -> './Bucket_Recipe_#5.png'
renamed './Stone_Axe_(Recipe_#5).png' -> './Stone_Axe_Recipe_#5.png'
renamed './CookedSparrow_Spawner_(Recipe_#2).png' -> './CookedSparrow_Spawner_Recipe_#2.png'
renamed './Iron_Rake_(Recipe_#1).png' -> './Iron_Rake_Recipe_#1.png'
renamed './Leather_Hat_(Recipe_#1).png' -> './Leather_Hat_Recipe_#1.png'
renamed './Small_Incendiary_Keg_(Recipe_#1).png' -> './Small_Incendiary_Keg_Recipe_#1.png'
renamed './CookedPigeon_Spawner_(Recipe_#1).png' -> './CookedPigeon_Spawner_Recipe_#1.png'
renamed './Iron_Pickaxe_(Recipe_#1).png' -> './Iron_Pickaxe_Recipe_#1.png'
renamed './Fur_Hat_(Recipe_#1).png' -> './Fur_Hat_Recipe_#1.png'
renamed './Window_(Recipe_#1).png' -> './Window_Recipe_#1.png'
renamed './Iron_Fence_Gate_(Recipe_#1).png' -> './Iron_Fence_Gate_Recipe_#1.png'
renamed './CookedPigeon_Spawner_(Recipe_#2).png' -> './CookedPigeon_Spawner_Recipe_#2.png'
renamed './Iron_Sign_(Recipe_#1).png' -> './Iron_Sign_Recipe_#1.png'
renamed './Wooden_Chest_Plate_(Recipe_#1).png' -> './Wooden_Chest_Plate_Recipe_#1.png'
renamed './Dough_(Recipe_#1).png' -> './Dough_Recipe_#1.png'
renamed './T-shirt_(Recipe_#1).png' -> './T-shirt_Recipe_#1.png'
renamed './Diamond_Edge_Machete_(Recipe_#1).png' -> './Diamond_Edge_Machete_Recipe_#1.png'
renamed './Incendiary_Bomb_(Recipe_#1).png' -> './Incendiary_Bomb_Recipe_#1.png'
renamed './Coal_Chunk_(Recipe_#2).png' -> './Coal_Chunk_Recipe_#2.png'
renamed './Diamond_Tip_Spear_(Recipe_#1).png' -> './Diamond_Tip_Spear_Recipe_#1.png'
renamed './Cowboy_Hat_(Recipe_#1).png' -> './Cowboy_Hat_Recipe_#1.png'
renamed './Oak_Sapling_(Recipe_#1).png' -> './Oak_Sapling_Recipe_#1.png'
renamed './Tank_Top_(Recipe_#1).png' -> './Tank_Top_Recipe_#1.png'
renamed './Copper_Machete_(Recipe_#1).png' -> './Copper_Machete_Recipe_#1.png'
renamed './Cooked_Bird_(Recipe_#1).png' -> './Cooked_Bird_Recipe_#1.png'
renamed './Brick_(Recipe_#3).png' -> './Brick_Recipe_#3.png'
renamed './Whistle_(Recipe_#1).png' -> './Whistle_Recipe_#1.png'
renamed './CookedSeagull_Egg_(Recipe_#1).png' -> './CookedSeagull_Egg_Recipe_#1.png'
renamed './CookedRaven_Egg_(Recipe_#2).png' -> './CookedRaven_Egg_Recipe_#2.png'
renamed './Iron_Spear_(Recipe_#1).png' -> './Iron_Spear_Recipe_#1.png'
renamed './CookedRaven_Egg_(Recipe_#1).png' -> './CookedRaven_Egg_Recipe_#1.png'
renamed './CookedSeagull_Egg_(Recipe_#2).png' -> './CookedSeagull_Egg_Recipe_#2.png'
renamed './Tall_Spruce_Sapling_(Recipe_#1).png' -> './Tall_Spruce_Sapling_Recipe_#1.png'
renamed './Iron_Helmet_(Recipe_#1).png' -> './Iron_Helmet_Recipe_#1.png'
renamed './Copper_Ingot_(Recipe_#1).png' -> './Copper_Ingot_Recipe_#1.png'
renamed './Spruce_Sapling_(Recipe_#1).png' -> './Spruce_Sapling_Recipe_#1.png'
renamed './Copper_Rake_(Recipe_#1).png' -> './Copper_Rake_Recipe_#1.png'
renamed './Glass_(Recipe_#1).png' -> './Glass_Recipe_#1.png'
